date,product_code,registration_no,company,company_en,company_raw,commodity,commodity_mn,product_type,grade,grade_mn,contract_type,bidders,start_price,deal_price,currency,price_unit,total_value,premium_pct,lots,quantity_t,quantity_source,quality
2026-04-07,C03-2026040704,TTOA-2026-012,Тавантолгой ХК,Tavan Tolgoi JSC,Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,Medium-volatile coking coal,"Дэгдэмхий бодис дунд, коксжих нүүрс",Форвард,1,126.0,126.0,USD,тонн,4032000.0,0.0,5.0,32000.0,reported,"Ash (db): 15.64 (-4.0 | +4.0)  | Volatile (daf): 26.99 (-0,7 | +1.1)  | Total sulphur (db): 0.92 (-0.3 | +0.2)  | G-index (5:1): 76.0 (-4.0 | +4.0)  | Total moisture (ar): 1.9 (-0.5 | +2.5)  | Y- index ≤25mm"
2026-04-07,C02-2026040703,26-01 1-3 WCO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Баяжуулсан,Washed semi-soft coking coal,Баяжуулсан сул коксжих нүүрс,Форвард,7,99.2,111.7,USD,тонн,7148800.0,12.6,10.0,64000.0,reported,Ash (db): ≤12  | Total moisture (ar): ≤10.0  | Volatile (daf): >28.0  | Total sulphur (db): ≤ 0.85  | G index (5:1): ≥75
2026-04-07,C01-2026040701,ER-26060,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed coking coal,Баяжуулсан коксжих нүүрс,Форвард,6,900.0,950.0,CNY,тонн,12160000.0,5.56,2.0,12800.0,reported,"Үнслэг (хуурай,%) ≤ 11.0%  | Дэгдэмхий бодис   | (үнсгүй хуурай,%) >20.0%-28.0%  | Хүхэр (хуурай, %) ≤ 0.85%  | Нийт чийглэг   | (хүлээн авах   | үеийн төлөв,%) ≤ 10.0%  | G индекс  ≥ 75"
2026-04-06,FE03-2026040601,ECM-26-62,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Форвард,5,65.0,70.0,USD,тонн,462000.0,7.69,2.0,6600.0,reported,H2O 0.5-1.0%  | Al2O3 1%-3%  | S 0.02%-0.05%  | SiO2 5%-10%  | Fe <52%  | TiO2 0.01 %-0.08% | P 0.01 %-0.03%
2026-04-06,FE02-2026040605,DMP-2624,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Iron ore,Төмөр,Баяжмал,Fe-58% Төмрийн баяжмал,Fe-58% Төмрийн баяжмал,Форвард,3,59.0,63.5,USD,тонн,3771900.0,7.63,18.0,59400.0,reported,"FE 58% (дундаж) | S 3.5% (дундаж) | H2O 2.5% (дундаж) | AL2O3 1.0% (дундаж) | SIO2 6.0% (дундаж) | TIO2 0.1% (дундаж) | P 0.02% (дундаж) | Ширхэглэл 0-10mm (нунтаг),  | 10-40mm (бүхэл)"
2026-04-06,FE02-2026040604,DMP-2623,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Iron ore,Төмөр,Баяжмал,Fe-58% Төмрийн баяжмал,Fe-58% Төмрийн баяжмал,Форвард,2,59.0,62.0,USD,тонн,3682800.0,5.08,18.0,59400.0,reported,"FE 58% (дундаж) | S 3.5% (дундаж) | H2O 2.5% (дундаж) | AL2O3 1.0% (дундаж) | SIO2 6.0% (дундаж) | TIO2 0.1% (дундаж) | P 0.02% (дундаж) | Ширхэглэл 0-10mm (нунтаг),  | 10-40mm (бүхэл)"
2026-04-06,C04-2026040603,26-66 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,4,76.3,78.8,USD,тонн,2521600.0,3.28,5.0,32000.0,reported,Ash (db): 22.0 (-3.0 | +3.0) | Total moisture (ar): 4.0 (-1.0 | +2.0) | Volatile (daf): >28.0-37.0 | Total sulphur (db): 1.1 (-0.5 | +0.5) | G-Index (5:1): ≥70
2026-04-06,C04-2026040602,26-65 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,5,101.9,107.4,USD,тонн,6873600.0,5.4,10.0,64000.0,reported,Ash (db): ≤9.0 | Total moisture (ar): ≤8.0 | Volatile (daf): >28.0-37.0 | Total sulphur (db): ≤1.0 | G-index (5:1): ≥75.0
2026-04-03,С03-2026040305,26-08 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,Medium-volatile coking coal,"Дэгдэмхий бодис дунд, коксжих нүүрс",Форвард,5,128.4,136.9,USD,тонн,1752320.0,6.62,2.0,12800.0,reported,Ash (db): 15.0 (-3.0 | +3.0)  | Total moisture (ar): 3.0 (-2.0 | +2.0)  | Volatile (daf): >20.0-28.0  | Total sulphur (db): 0.9 (-0.3 | +0.5)  | G-Index (5:1): >65
2026-04-03,FE02-2026040304,DMP-2620,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Iron ore,Төмөр,Баяжмал,Fe-58% Төмрийн баяжмал,Fe-58% Төмрийн баяжмал,Форвард,2,59.0,59.0,USD,тонн,3504600.0,0.0,18.0,59400.0,reported,"FE 58% (дундаж) | S 3.5% (дундаж) | H2O 2.5% (дундаж) | AL2O3 1.0% (дундаж) | SIO2 6.0% (дундаж) | TIO2 0.1% (дундаж) | P 0.02% (дундаж) | Ширхэглэл 0-10mm (нунтаг),  | 10-40mm (бүхэл)"
2026-04-03,FE02-2026040303,DMP-2619,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Дарханы Төмөрлөгийн Үйлдвэр ХХК,Iron ore,Төмөр,Баяжмал,Fe-58% Төмрийн баяжмал,Fe-58% Төмрийн баяжмал,Форвард,2,59.0,61.5,USD,тонн,3653100.0,4.24,18.0,59400.0,reported,"FE 58% (дундаж) | S 3.5% (дундаж) | H2O 2.5% (дундаж) | AL2O3 1.0% (дундаж) | SIO2 6.0% (дундаж) | TIO2 0.1% (дундаж) | P 0.02% (дундаж) | Ширхэглэл 0-10mm (нунтаг),  | 10-40mm (бүхэл)"
2026-04-03,C04-2026040304,26-64 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,4,66.6,73.1,USD,тонн,2339200.0,9.76,5.0,32000.0,reported,Ash (db): 26.0 (-3.0 | +3.0)  | Total moisture (ar): 5.0 (-2.0 | +3.0)  | Volatile (daf): >28.0-37.0  | Total sulphur (db): 1.0 (-0.3 | +0.5)  | G-Index (5:1): >65
2026-04-03,C04-2026040303,26-63 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,6,73.2,79.7,USD,тонн,5100800.0,8.88,10.0,64000.0,reported,Ash (db): 22.0 (-3.0 | +3.0)  | Total moisture (ar): 4.0 (-1.0 | +2.0)  | Volatile (daf): >28.0-37.0  | Total sulphur (db): 1.1 (-0.5 | +0.5)  | G-Index (5:1): ≥70
2026-04-03,C04-2026040302,26-62 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,5,99.6,108.6,USD,тонн,3475200.0,9.04,5.0,32000.0,reported,Ash (db):  ≤9.0  | Total moisture (ar): ≤8.0  | Volatile (daf): >28.0-37.0  | Total sulphur (db): ≤1.0  | G-index (5:1): ≥75.0
